period,plantid,latitude,longitude,point_url
2023-01,7721,30.525445,-88.128477,"https://api.weather.gov/gridpoints/MOB/49,60/forecast"
2023-01,55292,34.6292,-87.0214,"https://api.weather.gov/gridpoints/HUN/48,37/forecast"
2023-01,54216,33.328107,-86.356825,"https://api.weather.gov/gridpoints/BMX/76,77/forecast"
2023-01,56076,33.582793,-86.779866,"https://api.weather.gov/gridpoints/BMX/60,87/forecast"
2023-01,54985,31.262356,-85.402737,"https://api.weather.gov/gridpoints/TAE/39,119/forecast"
2023-01,702,32.663,-85.0908,"https://api.weather.gov/gridpoints/FFC/28,37/forecast"
2023-01,707,32.6096,-85.0795,"https://api.weather.gov/gridpoints/FFC/29,35/forecast"
2023-01,10699,32.2268,-88.0252,"https://api.weather.gov/gridpoints/MOB/49,135/forecast"
2023-01,7897,32.381352,-86.574366,"https://api.weather.gov/gridpoints/BMX/71,35/forecast"
2023-01,7710,32.6078,-85.0975,"https://api.weather.gov/gridpoints/BMX/125,48/forecast"
2023-01,54752,31.9698,-87.4806,"https://api.weather.gov/gridpoints/MOB/70,125/forecast"
2023-01,55044,31.4894,-87.8989,"https://api.weather.gov/gridpoints/MOB/56,103/forecast"
2023-01,54550,30.43203,-88.18241,"https://api.weather.gov/gridpoints/MOB/47,56/forecast"
2023-01,10216,31.5825,-87.4889,"https://api.weather.gov/gridpoints/MOB/71,108/forecast"
2023-01,54429,31.5825,-87.4889,"https://api.weather.gov/gridpoints/MOB/71,108/forecast"
2023-01,55411,33.000669,-85.903278,"https://api.weather.gov/gridpoints/BMX/94,64/forecast"
2023-01,58061,34.623611,-87.101111,"https://api.weather.gov/gridpoints/HUN/45,37/forecast"
2023-01,59710,34.343875,-85.866103,"https://api.weather.gov/gridpoints/HUN/91,27/forecast"
2023-01,52140,32.4187,-86.4718,"https://api.weather.gov/gridpoints/BMX/75,37/forecast"
2023-01,55293,34.6397,-87.0639,"https://api.weather.gov/gridpoints/HUN/46,37/forecast"
2023-01,6440,34.79782,-87.62537,"https://api.weather.gov/gridpoints/HUN/25,43/forecast"
2023-01,56018,33.1661,-86.2825,"https://api.weather.gov/gridpoints/BMX/80,70/forecast"
2023-01,6150,34.7092,-85.9278,"https://api.weather.gov/gridpoints/HUN/87,43/forecast"
2023-01,54789,31.077,-87.1116,"https://api.weather.gov/gridpoints/MOB/86,86/forecast"
