fips,lat,lon,point_url
21209,38.29154732,-84.58393389,"https://api.weather.gov/gridpoints/LMK/91,82/forecast"
19053,40.73768271,-93.78628141,"https://api.weather.gov/gridpoints/DMX/68,10/forecast"
18169,40.84569301,-85.79400567,"https://api.weather.gov/gridpoints/IWX/47,26/forecast"
18003,41.09087088,-85.06656204,"https://api.weather.gov/gridpoints/IWX/72,39/forecast"
18099,41.32484896,-86.26176129,"https://api.weather.gov/gridpoints/IWX/30,47/forecast"
31171,41.91358524,-100.5558864,"https://api.weather.gov/gridpoints/LBF/76,75/forecast"
38085,46.11265391,-101.0403053,"https://api.weather.gov/gridpoints/BIS/101,14/forecast"
48127,28.422536,-99.75672613,"https://api.weather.gov/gridpoints/EWX/77,12/forecast"
27045,43.6740047,-92.09017554,"https://api.weather.gov/gridpoints/ARX/36,55/forecast"
45023,34.69205729,-81.15953127,"https://api.weather.gov/gridpoints/GSP/110,40/forecast"
27073,44.99548739,-96.17347833,"https://api.weather.gov/gridpoints/MPX/12,73/forecast"
49005,41.72242941,-111.743621,"https://api.weather.gov/gridpoints/SLC/111,218/forecast"
55093,44.7194015,-92.42250349,"https://api.weather.gov/gridpoints/MPX/137,60/forecast"
13049,30.7817272,-82.13768814,"https://api.weather.gov/gridpoints/JAX/46,82/forecast"
13233,34.00178449,-85.18815338,"https://api.weather.gov/gridpoints/FFC/20,96/forecast"
17113,40.49089162,-88.84732428,"https://api.weather.gov/gridpoints/ILX/74,89/forecast"
23001,44.16584843,-70.206445,"https://api.weather.gov/gridpoints/GYX/74,82/forecast"
16055,47.67435663,-116.701762,"https://api.weather.gov/gridpoints/OTX/163,87/forecast"
32003,36.21519631,-115.0135611,"https://api.weather.gov/gridpoints/VEF/127,99/forecast"
20147,39.78458311,-99.34702212,"https://api.weather.gov/gridpoints/GID/32,33/forecast"
31089,42.45571085,-98.78384471,"https://api.weather.gov/gridpoints/LBF/138,98/forecast"
29101,38.74408549,-93.80636749,"https://api.weather.gov/gridpoints/EAX/71,35/forecast"
55063,43.90656902,-91.11521797,"https://api.weather.gov/gridpoints/ARX/68,67/forecast"
22021,32.09237154,-92.11657357,"https://api.weather.gov/gridpoints/SHV/138,51/forecast"
21061,37.2088402,-86.23862015,"https://api.weather.gov/gridpoints/LMK/36,30/forecast"
17005,38.88682871,-89.43554242,"https://api.weather.gov/gridpoints/LSX/122,87/forecast"
17009,39.96176163,-90.75035562,"https://api.weather.gov/gridpoints/LSX/74,134/forecast"
27085,44.82355907,-94.27243561,"https://api.weather.gov/gridpoints/MPX/75,65/forecast"
55033,44.94658399,-91.8964036,"https://api.weather.gov/gridpoints/MPX/154,71/forecast"
8027,38.1086779,-105.3674718,"https://api.weather.gov/gridpoints/PUB/68,60/forecast"
29123,37.4780955,-90.34502616,"https://api.weather.gov/gridpoints/LSX/92,23/forecast"
48353,32.30349026,-100.4060525,"https://api.weather.gov/gridpoints/SJT/78,93/forecast"
42127,41.6487874,-75.30323684,"https://api.weather.gov/gridpoints/BGM/90,40/forecast"
36091,43.1073812,-73.86390455,"https://api.weather.gov/gridpoints/ALY/65,83/forecast"
48041,30.66079897,-96.30238494,"https://api.weather.gov/gridpoints/HGX/30,136/forecast"
40095,34.02451017,-96.76913439,"https://api.weather.gov/gridpoints/OUN/124,29/forecast"
24001,39.62147321,-78.69753855,"https://api.weather.gov/gridpoints/LWX/35,97/forecast"
54103,39.60526327,-80.6390976,"https://api.weather.gov/gridpoints/PBZ/59,26/forecast"
55053,44.31915044,-90.80516773,"https://api.weather.gov/gridpoints/ARX/78,86/forecast"
41007,46.01752615,-123.7169992,"https://api.weather.gov/gridpoints/PQR/84,134/forecast"
53041,46.57776818,-122.3926383,"https://api.weather.gov/gridpoints/SEW/113,21/forecast"
36003,42.25737346,-78.02754896,"https://api.weather.gov/gridpoints/BUF/68,22/forecast"
19031,41.77232666,-91.13242304,"https://api.weather.gov/gridpoints/DVN/48,77/forecast"
18117,38.54177889,-86.49506928,"https://api.weather.gov/gridpoints/LMK/23,89/forecast"
13089,33.77154709,-84.22643246,"https://api.weather.gov/gridpoints/FFC/56,88/forecast"
13227,34.46431978,-84.46563905,"https://api.weather.gov/gridpoints/FFC/45,118/forecast"
30015,47.88058388,-110.4352238,"https://api.weather.gov/gridpoints/TFX/128,159/forecast"
31017,42.4300206,-99.92950645,"https://api.weather.gov/gridpoints/LBF/99,98/forecast"
47013,36.40351281,-84.14938458,"https://api.weather.gov/gridpoints/MRX/61,70/forecast"
37069,36.08277335,-78.28569657,"https://api.weather.gov/gridpoints/RAH/86,72/forecast"
24510,39.30097924,-76.61064707,"https://api.weather.gov/gridpoints/LWX/109,91/forecast"
20111,38.45618714,-96.15263975,"https://api.weather.gov/gridpoints/TOP/64,22/forecast"
19027,42.03623329,-94.86055417,"https://api.weather.gov/gridpoints/DMX/31,69/forecast"
22107,32.00176629,-91.34010391,"https://api.weather.gov/gridpoints/JAN/33,48/forecast"
47123,35.44264489,-84.25280048,"https://api.weather.gov/gridpoints/MRX/61,27/forecast"
20075,37.99915254,-101.7912565,"https://api.weather.gov/gridpoints/DDC/13,52/forecast"
19151,42.73413511,-94.67874661,"https://api.weather.gov/gridpoints/DMX/37,102/forecast"
16045,44.06154654,-116.397519,"https://api.weather.gov/gridpoints/BOI/130,107/forecast"
5063,35.74158626,-91.56968439,"https://api.weather.gov/gridpoints/LZK/107,118/forecast"
5085,34.75426858,-91.88878519,"https://api.weather.gov/gridpoints/LZK/97,73/forecast"
18111,40.95584774,-87.39753659,"https://api.weather.gov/gridpoints/LOT/86,31/forecast"
13119,34.37539897,-83.22906741,"https://api.weather.gov/gridpoints/GSP/36,19/forecast"
12051,26.55341574,-81.16589557,"https://api.weather.gov/gridpoints/MFL/68,81/forecast"
13265,33.56609084,-82.87876447,"https://api.weather.gov/gridpoints/FFC/107,83/forecast"
48245,29.85372892,-94.15343946,"https://api.weather.gov/gridpoints/LCH/24,78/forecast"
30059,46.59822408,-110.8856614,"https://api.weather.gov/gridpoints/TFX/106,100/forecast"
8067,37.28658195,-107.8432707,"https://api.weather.gov/gridpoints/GJT/112,20/forecast"
48027,31.0373452,-97.47874405,"https://api.weather.gov/gridpoints/FWD/62,28/forecast"
28069,32.75455793,-88.64115942,"https://api.weather.gov/gridpoints/JAN/132,85/forecast"
5019,34.05092605,-93.17635064,"https://api.weather.gov/gridpoints/LZK/50,41/forecast"
41035,42.68640894,-121.650121,"https://api.weather.gov/gridpoints/MFR/149,81/forecast"
36075,43.46388325,-76.20868678,"https://api.weather.gov/gridpoints/BUF/122,85/forecast"
72105,18.28841776,-66.2525509,"https://api.weather.gov/gridpoints/SJU/149,116/forecast"
1019,34.17595597,-85.60379372,"https://api.weather.gov/gridpoints/BMX/102,116/forecast"
48019,29.74720499,-99.24624411,"https://api.weather.gov/gridpoints/EWX/98,69/forecast"
30087,46.22965227,-106.7307122,"https://api.weather.gov/gridpoints/BYZ/162,107/forecast"
35059,36.48166848,-103.4709705,"https://api.weather.gov/gridpoints/ABQ/218,173/forecast"
26153,46.04247982,-86.17729449,"https://api.weather.gov/gridpoints/MQT/194,49/forecast"
36111,41.88814563,-74.25856952,"https://api.weather.gov/gridpoints/ALY/60,26/forecast"
34007,39.80353924,-74.95975435,"https://api.weather.gov/gridpoints/PHI/58,70/forecast"
17083,39.08550548,-90.35652829,"https://api.weather.gov/gridpoints/LSX/89,95/forecast"
51085,37.76010689,-77.49097837,"https://api.weather.gov/gridpoints/AKQ/42,86/forecast"
20199,38.91666114,-101.763574,"https://api.weather.gov/gridpoints/GLD/52,33/forecast"
26003,46.94826921,-86.57216017,"https://api.weather.gov/gridpoints/MQT/179,91/forecast"
5049,36.38165391,-91.81824884,"https://api.weather.gov/gridpoints/LZK/97,146/forecast"
48215,26.39672849,-98.1810872,"https://api.weather.gov/gridpoints/BRO/51,27/forecast"
37155,34.64024613,-79.10386149,"https://api.weather.gov/gridpoints/ILM/45,81/forecast"
26123,43.55416755,-85.80091729,"https://api.weather.gov/gridpoints/GRR/35,74/forecast"
41049,45.41900454,-119.584275,"https://api.weather.gov/gridpoints/PDT/104,93/forecast"
27153,46.07062663,-94.89760268,"https://api.weather.gov/gridpoints/MPX/54,123/forecast"
5083,35.21491086,-93.71657516,"https://api.weather.gov/gridpoints/LZK/30,93/forecast"
37109,35.48559502,-81.22353262,"https://api.weather.gov/gridpoints/GSP/104,75/forecast"
5091,33.31245066,-93.89207844,"https://api.weather.gov/gridpoints/SHV/71,104/forecast"
12095,28.51444798,-81.32352861,"https://api.weather.gov/gridpoints/MLB/28,67/forecast"
8111,37.76404307,-107.6761473,"https://api.weather.gov/gridpoints/GJT/120,41/forecast"
16041,42.18109165,-111.8132011,"https://api.weather.gov/gridpoints/PIH/124,14/forecast"
13045,33.58279785,-85.07976305,"https://api.weather.gov/gridpoints/FFC/26,77/forecast"
20161,39.29655321,-96.73517697,"https://api.weather.gov/gridpoints/TOP/44,60/forecast"
48413,30.89745261,-100.538546,"https://api.weather.gov/gridpoints/SJT/71,31/forecast"
51167,36.93387053,-82.09535692,"https://api.weather.gov/gridpoints/MRX/132,100/forecast"
37027,35.95303878,-81.54643729,"https://api.weather.gov/gridpoints/GSP/90,95/forecast"
16065,43.78414025,-111.6591885,"https://api.weather.gov/gridpoints/PIH/138,86/forecast"
18173,38.09216895,-87.27205932,"https://api.weather.gov/gridpoints/PAH/177,103/forecast"
21001,37.10415344,-85.28064977,"https://api.weather.gov/gridpoints/LMK/70,27/forecast"
21077,38.75686372,-84.85920597,"https://api.weather.gov/gridpoints/ILN/25,22/forecast"
21097,38.44180351,-84.33139583,"https://api.weather.gov/gridpoints/LMK/99,90/forecast"
23023,43.91172689,-69.83930895,"https://api.weather.gov/gridpoints/GYX/88,73/forecast"
30097,45.81389375,-109.9410139,"https://api.weather.gov/gridpoints/BYZ/56,98/forecast"
48181,33.62680855,-96.67772539,"https://api.weather.gov/gridpoints/FWD/94,141/forecast"
42059,39.85379981,-80.22287386,"https://api.weather.gov/gridpoints/PBZ/73,39/forecast"
2188,67.00817244,-160.0069785,"https://api.weather.gov/gridpoints/AFG/316,210/forecast"
20051,38.91475125,-99.31723162,"https://api.weather.gov/gridpoints/DDC/102,90/forecast"
1065,32.76266423,-87.62911768,"https://api.weather.gov/gridpoints/BMX/31,49/forecast"
1105,32.63846566,-87.29440079,"https://api.weather.gov/gridpoints/BMX/44,44/forecast"
1033,34.7004338,-87.80498528,"https://api.weather.gov/gridpoints/HUN/19,39/forecast"
20151,37.64773534,-98.73959571,"https://api.weather.gov/gridpoints/DDC/121,32/forecast"
21017,38.20672995,-84.21713996,"https://api.weather.gov/gridpoints/LMK/104,80/forecast"
47149,35.84270653,-86.41673789,"https://api.weather.gov/gridpoints/OHX/64,43/forecast"
13075,31.15399103,-83.43046507,"https://api.weather.gov/gridpoints/TAE/114,120/forecast"
20101,38.48130472,-100.4663984,"https://api.weather.gov/gridpoints/DDC/61,72/forecast"
40059,36.78880252,-99.6674011,"https://api.weather.gov/gridpoints/OUN/22,155/forecast"
17147,40.01035275,-88.59108665,"https://api.weather.gov/gridpoints/ILX/84,67/forecast"
48107,33.61462503,-101.2999585,"https://api.weather.gov/gridpoints/LUB/70,34/forecast"
72053,18.36220925,-65.60656081,"https://api.weather.gov/gridpoints/SJU/203,122/forecast"
1063,32.85313884,-87.95223092,"https://api.weather.gov/gridpoints/BMX/19,53/forecast"
16033,44.28390563,-112.3512975,"https://api.weather.gov/gridpoints/PIH/118,112/forecast"
19109,43.20413003,-94.20671993,"https://api.weather.gov/gridpoints/DMX/53,123/forecast"
72151,18.05596629,-65.86330232,"https://api.weather.gov/gridpoints/SJU/182,96/forecast"
38013,48.79101842,-102.5181605,"https://api.weather.gov/gridpoints/BIS/59,144/forecast"
37063,36.03602896,-78.87659273,"https://api.weather.gov/gridpoints/RAH/65,68/forecast"
19085,41.68285306,-95.81692023,"https://api.weather.gov/gridpoints/OAX/87,79/forecast"
31103,42.87882906,-99.71234971,"https://api.weather.gov/gridpoints/LBF/107,118/forecast"
19187,42.42794266,-94.18176462,"https://api.weather.gov/gridpoints/DMX/54,88/forecast"
17151,37.41270956,-88.56158198,"https://api.weather.gov/gridpoints/PAH/132,70/forecast"
47159,36.2505341,-85.95671457,"https://api.weather.gov/gridpoints/OHX/80,63/forecast"
51089,36.68277268,-79.8739525,"https://api.weather.gov/gridpoints/RNK/80,43/forecast"
51510,38.81845302,-77.08620393,"https://api.weather.gov/gridpoints/LWX/95,68/forecast"
19101,41.03176207,-91.94887288,"https://api.weather.gov/gridpoints/DVN/21,43/forecast"
30049,47.12244291,-112.390455,"https://api.weather.gov/gridpoints/TFX/61,131/forecast"
49013,40.29824232,-110.4251845,"https://api.weather.gov/gridpoints/SLC/148,148/forecast"
40003,36.73098891,-98.32397818,"https://api.weather.gov/gridpoints/OUN/70,151/forecast"
48119,33.38629274,-95.67227082,"https://api.weather.gov/gridpoints/FWD/131,130/forecast"
47169,36.39204286,-86.15675276,"https://api.weather.gov/gridpoints/OHX/72,68/forecast"
21193,37.24429332,-83.2214816,"https://api.weather.gov/gridpoints/JKL/67,35/forecast"
46039,44.76005795,-96.66797414,"https://api.weather.gov/gridpoints/ABR/178,59/forecast"
41029,42.43215589,-122.7285179,"https://api.weather.gov/gridpoints/MFR/111,77/forecast"
72067,18.13418073,-67.1140223,"https://api.weather.gov/gridpoints/SJU/77,102/forecast"
48507,28.86621142,-99.76059567,"https://api.weather.gov/gridpoints/EWX/77,31/forecast"
31007,41.54593899,-103.7104602,"https://api.weather.gov/gridpoints/CYS/149,30/forecast"
19121,41.33071421,-94.01556195,"https://api.weather.gov/gridpoints/DMX/60,37/forecast"
12011,26.15212966,-80.4604243,"https://api.weather.gov/gridpoints/MFL/97,66/forecast"
13279,32.12172033,-82.33129291,"https://api.weather.gov/gridpoints/FFC/133,22/forecast"
