period,plantid,latitude,longitude
2023-01,7231,37.401,-121.96867
2023-01,7232,37.364297,-121.944238
2023-01,7338,39.889287,-121.279173
2023-01,56026,37.3767,-121.9508
2023-01,55950,35.479146,-119.737464
2023-01,50147,33.051,-117.175
2023-01,10548,37.336113,-121.878332
2023-01,50492,32.679172,-117.246698
2023-01,55602,32.8817,-117.1958
2023-01,223,40.085997,-121.149373
2023-01,224,39.788877,-121.657383
2023-01,227,40.404645,-122.121904
2023-01,229,40.570817,-122.02093
2023-01,233,39.29807,-120.8443
2023-01,241,38.956985,-121.041932
2023-01,242,40.268712,-121.089479
2023-01,243,40.929297,-121.544462
2023-01,244,40.960675,-121.548657
2023-01,318,37.2,-119.3069
2023-01,319,37.148517,-119.386623
2023-01,320,37.139,-119.4898
2023-01,321,37.2096,-119.3289
2023-01,322,37.200062,-119.30681
2023-01,323,37.273581,-118.573339
2023-01,57579,37.8583,-120.8917
2023-01,57245,34.131214,-117.425324
2023-01,57246,34.131111,-117.421666
2023-01,57247,34.094167,-117.274166
2023-01,56471,34.205556,-119.246944
2023-01,7147,34.088019,-117.039539
2023-01,56472,34.0903,-117.5343
2023-01,56473,34.0053,-117.5604
2023-01,56474,33.8073,-117.9832
2023-01,56475,33.9296,-118.1046
2023-01,56996,33.985244,-117.700826
2023-01,6704,33.333056,-118.310278
2023-01,57223,34.042778,-117.571666
2023-01,57224,34.075,-117.516944
2023-01,57225,34.075833,-117.241388
2023-01,57226,34.042222,-117.561666
2023-01,57227,34.083499,-117.23557
2023-01,57232,34.083333,-117.516388
2023-01,57236,34.080833,-117.520277
2023-01,57237,34.08,-117.2114
2023-01,60233,34.825267,-118.524989
2023-01,57229,34.079167,-117.516666
2023-01,57231,34.072778,-117.503333
2023-01,57230,34.085556,-117.233611
2023-01,60386,34.821453,-118.497406
2023-01,58646,35.6,-115.4
2023-01,344,37.220302,-119.337983
2023-01,357,37.766954,-119.123284
2023-01,353,37.944237,-119.2161
2023-01,354,37.257045,-119.158936
2023-01,358,34.0818,-117.2418
2023-01,361,34.14522,-117.058481
2023-01,363,34.107245,-117.099091
2023-01,365,36.13568,-118.788868
2023-01,56346,34.2506,-116.9025
2023-01,57222,34.041944,-117.565
2023-01,338,36.486059,-118.835645
2023-01,339,35.776185,-118.436233
2023-01,340,35.460303,-118.77959
2023-01,342,38.042729,-119.172015
2023-01,58711,35.62,-119.85
2023-01,58713,36.73,-120.41
2023-01,59939,36.581365,-120.40447
2023-01,60007,35.731362,-119.818712
2023-01,58975,36.218806,-119.805833
2023-01,59088,33.165833,-115.532222
2023-01,57651,35.102778,-118.954444
2023-01,60571,32.877822,-117.197788
2023-01,58467,32.753333,-115.726389
2023-01,58592,33.08,-115.47
2023-01,50985,38.2494,-122.0394
2023-01,56012,33.925,-116.617778
2023-01,65510,37.883393,-120.454433
2023-01,50112,39.941165,-120.909211
2023-01,10144,38.9032,-121.3097
2023-01,50110,40.8767,-121.7016
2023-01,50837,33.759236,-118.239922
2023-01,10881,40.882061,-121.948353
2023-01,57682,36.9408,-120.1572
2023-01,57683,33.881667,-118.0175
2023-01,57700,37.790833,-121.718055
2023-01,57701,38.116667,-121.821944
2023-01,57702,33.811182,-118.175645
2023-01,57714,37.4383,-122.1094
2023-01,54343,36.4156,-119.0069
2023-01,54654,40.0941,-123.508983
2023-01,57988,38.838056,-121.341944
2023-01,57715,33.143847,-117.236908
2023-01,57491,32.772225,-115.779311
2023-01,58514,33.923056,-116.53
2023-01,58298,35.653056,-119.889722
2023-01,57895,35.402778,-119.038611
2023-01,57455,33.298889,-116.35083
2023-01,57904,33.965617,-117.659059
2023-01,57313,34.0578,-118.229722
2023-01,57314,33.783102,-118.28493
2023-01,58248,34.183611,-118.574722
2023-01,50293,39.1062,-122.1096
2023-01,57007,33.567268,-114.917979
2023-01,57011,33.565329,-114.903629
2023-01,57559,37.750894,-122.481758
2023-01,57809,37.5425,-122.292778
2023-01,58296,35.739722,-119.238056
2023-01,58297,35.734167,-119.236667
2023-01,57811,37.330556,-121.893056
2023-01,58299,37.252778,-121.934167
2023-01,58300,33.838056,-118.315
2023-01,58301,37.406944,-122.026944
2023-01,58302,33.137222,-117.286944
2023-01,58303,36.6575,-121.623333
2023-01,59261,33.850556,-118.304167
2023-01,59279,37.643889,-121.884167
2023-01,59280,37.356389,-121.871944
2023-01,59800,34.088408,-117.245839
2023-01,59802,37.405689,-121.949416
2023-01,59803,37.83286,-122.284003
2023-01,59804,34.093684,-117.551044
2023-01,59805,37.415419,-122.025747
2023-01,60223,37.241713,-121.781363
2023-01,60224,37.384745,-121.963808
2023-01,61153,37.417638,-121.94453
2023-01,61154,33.836439,-117.916893
2023-01,62458,34.08145,-118.15191
2023-01,62459,37.378422,-121.899969
2023-01,62571,34.083387,-118.43378
2023-01,62573,33.684675,-117.836821
2023-01,62574,34.196324,-118.448225
2023-01,62575,37.417288,-121.894109
2023-01,62577,37.331666,-122.006686
2023-01,63603,32.87302,-117.19968
2023-01,63604,37.237,-121.78532
2023-01,63605,38.236257,-122.077759
2023-01,63606,34.152191,-118.456078
2023-01,63607,37.23811,-121.78532
2023-01,57656,33.826389,-117.511667
2023-01,59058,38.399444,-121.960278
2023-01,58148,36.226111,-119.834167
2023-01,58149,34.708889,-118.304722
2023-01,57771,39.674,-121.73
2023-01,57836,34.654347,-117.973103
2023-01,56051,33.7684,-118.2141
2023-01,50350,39.869284,-121.631865
2023-01,57796,33.914167,-118.053611
2023-01,57797,33.911944,-118.052222
2023-01,58912,33.910833,-118.044444
2023-01,58913,33.910833,-118.044444
2023-01,60151,33.914356,-118.050189
2023-01,60153,33.912917,-118.050561
2023-01,60154,33.912917,-118.041944
2023-01,60182,34.030119,-117.517753
2023-01,60183,33.892614,-118.037564
2023-01,54453,38.1167,-121.8333
2023-01,56874,38.1711,-121.8461
2023-01,56875,38.44979,-121.16469
2023-01,57586,38.169444,-121.846944
2023-01,57708,34.938261,-118.334492
2023-01,57725,38.137488,-121.855342
2023-01,57757,34.891389,-118.4325
2023-01,57729,33.058611,-117.119444
2023-01,50400,38.1861,-120.15
2023-01,57916,32.911111,-115.568056
2023-01,57970,39.648056,-121.644167
2023-01,57977,40.4128,-120.4774
2023-01,63493,40.15006,-120.123352
2023-01,50530,33.791667,-118.234722
2023-01,56803,36.6514,-120.5833
2023-01,6518,39.245833,-120.027222
2023-01,7489,39.197222,-123.185556
2023-01,52073,34.0692,-118.4439
2023-01,65192,32.904775,-117.1986
2023-01,65196,37.35106,-121.90551
2023-01,65199,38.481931,-122.711104
2023-01,65200,33.983377,-118.42517
2023-01,65202,34.138719,-118.12833
2023-01,65203,37.39789,-121.88594
2023-01,65204,37.480769,-122.200408
2023-01,65205,33.874969,-118.289798
2023-01,65206,33.92429,-118.320597
2023-01,65208,37.659879,-122.09685
2023-01,65210,39.742597,-121.849688
2023-01,65211,34.137717,-118.36082
2023-01,65360,32.88758,-117.16682
2023-01,65361,34.13818,-118.12841
2023-01,66142,33.788034,-118.295496
2023-01,66143,32.805901,-117.167738
2023-01,66145,37.487027,-121.93942
2023-01,66146,34.099359,-118.29571
2023-01,66148,34.173105,-118.590273
2023-01,10387,32.857709,-117.028847
2023-01,54015,34.033206,-117.90612899999999
2023-01,55094,32.844845,-117.162747
2023-01,55160,36.388,-119.394
2023-01,55161,34.2925,-118.389444
2023-01,57831,34.65434,-117.971004
2023-01,57621,35.0775,-118.218333
2023-01,56898,34.431664,-118.642855
2023-01,56862,34.5644,-117.6933
2023-01,10764,40.8786,-123.9942
2023-01,56914,33.3594,-117.1114
2023-01,57650,35.3,-118.851944
2023-01,57655,35.411817,-118.96864
2023-01,62288,34.90422,-118.384341
2023-01,57849,38.282021,-121.464676
2023-01,57850,38.28357,-121.461264
2023-01,57860,34.008661,-117.845603
2023-01,57876,36.973333,-122.105556
